site,ENVIRONMENT,SOCIOECONOMIC,CHRONOLOGY,USI,elevation,species,part,sex,age,carbon,oxygen,nitrogen
Konyr-Tobe-1,F - DESERT OASES,NOMADIC,LATE ANTIQUITY,GM_F37,180,caprine,,,,-18.34,,7.72
Konyr-Tobe-1,F - DESERT OASES,NOMADIC,LATE ANTIQUITY,GM_F38,180,caprine,,,,-18.36,,7.76
Konyr-Tobe-1,F - DESERT OASES,NOMADIC,LATE ANTIQUITY,GM_F39,180,caprine,,,,-18.54,,7.57
Konyr-Tobe-1,F - DESERT OASES,NOMADIC,LATE ANTIQUITY,GM_F40,180,caprine,,,,-18.41,,7.73
Konyr-Tobe-1,F - DESERT OASES,NOMADIC,LATE ANTIQUITY,GM_F41,180,caprine,,,,-18.54,,
Konyr-Tobe-1,F - DESERT OASES,NOMADIC,LATE ANTIQUITY,GM_F42,180,caprine,,,,-18.11,,7.92
Karatuma,E - ARID/MOUNTAIN STEPPE,,LATE ANTIQUITY,GM_F76,,caprine,,,J,-16.71,,10.7
Karatuma,E - ARID/MOUNTAIN STEPPE,,LATE ANTIQUITY,GM_F77,,caprine,,,J,-16.77,,10.67
Kainar Bulak-1,F - DESERT OASES,,LATE ANTIQUITY,GM_F22,,caprine,,,,-19.27,,9.27
Kainar Bulak-1,F - DESERT OASES,,LATE ANTIQUITY,GM_F23,,caprine,,,,-19.09,,7.08
Kainar Bulak-1,F - DESERT OASES,,LATE ANTIQUITY,GM_F25,,caprine,,,,-18.7,,7.06
Kainar Bulak-1,F - DESERT OASES,,LATE ANTIQUITY,GM_F27,,caprine,,,,-19.5,,6.96
Kainar Bulak-1,F - DESERT OASES,,LATE ANTIQUITY,GM_F28,,caprine,,,,-19.74,,7.65
Kainar Bulak-1,F - DESERT OASES,,LATE ANTIQUITY,GM_F30,,caprine,,,,-20.43,,5.48
Kainar Bulak-1,F - DESERT OASES,,LATE ANTIQUITY,GM_F31,,caprine,,,,-19.06,,6.93
Kainar Bulak-1,F - DESERT OASES,,LATE ANTIQUITY,GM_F32,,caprine,,,,-19.03,,9.7
Kainar Bulak-1,F - DESERT OASES,,LATE ANTIQUITY,GM_F33,,caprine,,,,-19.15,,7.59
Kainar Bulak-1,F - DESERT OASES,,LATE ANTIQUITY,GM_F34,,caprine,,,,-18.42,,8.89
Kainar Bulak-1,F - DESERT OASES,,LATE ANTIQUITY,GM_FF35,,caprine,,,,-18.53,,7.64
Shimkent,F - DESERT OASES,,LATE ANTIQUITY,GM_F21,,caprine,,,,-18.36,,6.63
Kyzyl-Bulak,E - ARID/MOUNTAIN STEPPE,NOMADIC?,BRONZE AGE,GM_F82,,caprine,,,,-19,,9.6
Bozshakol-2,A - SEMI-ARID STEPPE,,BRONZE AGE,GM_F09,,caprine,,,,-18.99,,7.98
Bozshakol-2,A - SEMI-ARID STEPPE,,BRONZE AGE,GM_F43,,caprine,,,,-18.42,,5.55
Bozshakol-2,A - SEMI-ARID STEPPE,,BRONZE AGE,GM_F44,,caprine,,,,-18.76,,7.51
Bozshakol-2,A - SEMI-ARID STEPPE,,BRONZE AGE,GM_F45,,caprine,,,,-19.09,,8.54
Bozshakol-2,A - SEMI-ARID STEPPE,,BRONZE AGE,GM_F46,,caprine,,,,-17.6,,7.09
Bozshakol-2,A - SEMI-ARID STEPPE,,BRONZE AGE,GM_F47,,caprine,,,,-18.81,,7.96
Bozshakol-2,A - SEMI-ARID STEPPE,,BRONZE AGE,GM_F48,,caprine,,,,-19.32,,5.35
Bozshakol-2,A - SEMI-ARID STEPPE,,BRONZE AGE,GM_F49,,caprine,,,,-18.73,,8.32
Bozshakol-2,A - SEMI-ARID STEPPE,,BRONZE AGE,GM_F50,,caprine,,,,-19.14,,11.5
Bozshakol-2,A - SEMI-ARID STEPPE,,BRONZE AGE,GM_F51,,caprine,,,,-18.26,,6.17
Bozshakol-2,A - SEMI-ARID STEPPE,,BRONZE AGE,GM_F8,,caprine,,,,-19.18,,7.15
Lisakovsk,B - FOREST STEPPE,NOMADIC?,BRONZE AGE,GM_F79,,caprine,,,,-18.7,,7.84
Lisakovsk,B - FOREST STEPPE,NOMADIC?,BRONZE AGE,GM_F80,,caprine,,,,-19.8,,5.34
Lisakovsk,B - FOREST STEPPE,NOMADIC?,BRONZE AGE,GM_F82,,caprine,,,,-19.13,,6.1
Lisakovsk,B - FOREST STEPPE,NOMADIC?,BRONZE AGE,GM_F83,,caprine,,,,-19.21,,6.07
Lisakovsk,B - FOREST STEPPE,NOMADIC?,BRONZE AGE,GM_F84,,caprine,,,,-18.82,,6.24
Lisakovsk,B - FOREST STEPPE,NOMADIC?,BRONZE AGE,GM_F85,,caprine,,,,-19.48,,5.96
Lisakovsk,B - FOREST STEPPE,NOMADIC?,BRONZE AGE,GM_F86,,caprine,,,,-19.49,,5.68
Karatuma,E - ARID/MOUNTAIN STEPPE,,LATE ANTIQUITY,GM_F78,,cattle,,,J,-17,,9.9
Lisakovsk,B - FOREST STEPPE,NOMADIC?,BRONZE AGE,GM_F101,,cattle,,,,-19.77,,5.41
Lisakovsk,B - FOREST STEPPE,NOMADIC?,BRONZE AGE,GM_F102,,cattle,,,,-19.81,,6.52
Kenelkel-18,B - FOREST STEPPE,,BRONZE AGE,GM_F103,,cattle,,,,-19.96,,5.24
