site,ENVIRONMENT,SOCIOECONOMIC,CHRONOLOGY,USI,elevation,species,part,sex,age,carbon,oxygen,nitrogen
Alatau-1,E - ARID/MOUNTAIN STEPPE,,IRON AGE,GM_037,,human,,,,-16.18,,10.9
Alatau-1,E - ARID/MOUNTAIN STEPPE,,IRON AGE,GM_038,,human,,,,-17.27,,9.97
Alatau-1,E - ARID/MOUNTAIN STEPPE,,IRON AGE,GM_039,,human,,,,-15.9,,11.6
Kamenka,E - ARID/MOUNTAIN STEPPE,,IRON AGE,GM_040,,human,,,,-16,,10.33
Kamenka,E - ARID/MOUNTAIN STEPPE,,IRON AGE,GM_042,,human,,,,-15.31,,9.66
Kamenka,E - ARID/MOUNTAIN STEPPE,,IRON AGE,GM_041,,human,,,,-15.55,,12.28
Khatau-1,E - ARID/MOUNTAIN STEPPE,,LATE ANTIQUITY,GM_43,,human,,,,-15,,15.86
Shymkent,F - DESERT OASES,,LATE ANTIQUITY,GM_131,,human,,,,-11.28,,10.67
Konyr-Tobe-1,F - DESERT OASES,NOMADIC,LATE ANTIQUITY,GM_139,180,human,,,,-15.3,,12.7
Konyr-Tobe-1,F - DESERT OASES,NOMADIC,LATE ANTIQUITY,GM_141,180,human,,,,-13.8,,11.5
Konyr-Tobe-1,F - DESERT OASES,NOMADIC,LATE ANTIQUITY,GM_142,180,human,,,,-12.4,,12.9
Konyr-Tobe-1,F - DESERT OASES,NOMADIC,LATE ANTIQUITY,GM_145,180,human,,,,-19.1,,12.1
Konyr-Tobe-1,F - DESERT OASES,NOMADIC,LATE ANTIQUITY,GM_146,180,human,,,,-18.2,,10.7
Konyr-Tobe-1,F - DESERT OASES,NOMADIC,LATE ANTIQUITY,GM_144,180,human,,,,-17.4,,11.1
Konyr-Tobe-1,F - DESERT OASES,NOMADIC,LATE ANTIQUITY,GM_147,180,human,,,,-16.8,,12.1
Konyr-Tobe-1,F - DESERT OASES,NOMADIC,LATE ANTIQUITY,GM_143,180,human,,,,-18.7,,12.8
Konyr-Tobe-1,F - DESERT OASES,NOMADIC,LATE ANTIQUITY,GM_140,180,human,,,,-18.6,,11.9
Turgen-2,E - ARID/MOUNTAIN STEPPE,NOMADIC,LATE ANTIQUITY,GM_007,1040,human,,,,-16.65,,11.72
Turgen-2,E - ARID/MOUNTAIN STEPPE,NOMADIC,LATE ANTIQUITY,GM_013,1040,human,,,,-17.26,,10.97
Turgen-2,E - ARID/MOUNTAIN STEPPE,NOMADIC,LATE ANTIQUITY,GM_009,1040,human,,,,-15.05,,11.86
Turgen-2,E - ARID/MOUNTAIN STEPPE,NOMADIC,LATE ANTIQUITY,GM_010,1040,human,,,,-18.09,,10.4
Turgen-2,E - ARID/MOUNTAIN STEPPE,NOMADIC,LATE ANTIQUITY,GM_008,1040,human,,,,-15.46,,11.69
Turgen-2,E - ARID/MOUNTAIN STEPPE,NOMADIC,LATE ANTIQUITY,GM_012,1040,human,,,,-15.2,,11.43
Turgen-2,E - ARID/MOUNTAIN STEPPE,NOMADIC,LATE ANTIQUITY,GM_006,1040,human,,,,-15.55,,11.76
Temirlanovka,F - DESERT OASES,NOMADIC,LATE ANTIQUITY,GM_001,320,human,,,,-13.65,,13.2
Temirlanovka,F - DESERT OASES,NOMADIC,LATE ANTIQUITY,GM_002,320,human,,,,-12.6,,12.01
Temirlanovka,F - DESERT OASES,NOMADIC,LATE ANTIQUITY,GM_005,320,human,,,,-13.18,,13.18
Temirlanovka,F - DESERT OASES,NOMADIC,LATE ANTIQUITY,GM_004,320,human,,,,-14.6,,13.98
Butakty-1,E - ARID/MOUNTAIN STEPPE,NOMADIC,MEDIEVAL,GM_015,1150,human,,,,-10.66,,11.32
Butakty-1,E - ARID/MOUNTAIN STEPPE,NOMADIC,MEDIEVAL,GM_016,1150,human,,,,-11.18,,12.12
Butakty-1,E - ARID/MOUNTAIN STEPPE,NOMADIC,MEDIEVAL,GM_018,1150,human,,,,-12.11,,11.71
Butakty-1,E - ARID/MOUNTAIN STEPPE,NOMADIC,MEDIEVAL,GM_017,1150,human,,,,-11.17,,12.16
Butakty-1,E - ARID/MOUNTAIN STEPPE,NOMADIC,MEDIEVAL,GM_014,1150,human,,,,-15.34,,10.71
Butakty-1,E - ARID/MOUNTAIN STEPPE,NOMADIC,MEDIEVAL,GM_003,1150,human,,,,-15.7,,11.24
Novoilinovka,B - FOREST STEPPE,,BRONZE AGE,KZ18,,human,,,,-18.64,,11.38
Novoilinovka,B - FOREST STEPPE,,BRONZE AGE,KZ19,,human,,,,-19.07,,10.76
Novoilinovka,B - FOREST STEPPE,,BRONZE AGE,KZ20,,human,,,,-19.14,,11.4
Novoilinovka,B - FOREST STEPPE,,BRONZE AGE,KZ21,,human,,,,-18.71,,11.21
Novoilinovka,B - FOREST STEPPE,,BRONZE AGE,KZ22,,human,,,,-18.93,,11.05
Novoilinovka,B - FOREST STEPPE,,BRONZE AGE,KZ23,,human,,,,-18.92,,11.1
Novoilinovka,B - FOREST STEPPE,,BRONZE AGE,KZ24,,human,,,,-18.81,,11.23
Novoilinovka,B - FOREST STEPPE,,BRONZE AGE,KZ25,,human,,,,-19.18,,11.29
Ai-Dai,D - MOUNTAIN/FOREST STEPPE,NOMADIC,IRON AGE,K4 M3 sk2,,human,,female,adolescent,-14.7,,10.2
Ai-Dai,D - MOUNTAIN/FOREST STEPPE,NOMADIC,IRON AGE,K5 M1 sk3,,human,,female,adolescent,-15.3,,10.6
Ai-Dai,D - MOUNTAIN/FOREST STEPPE,NOMADIC,IRON AGE,K2 M1 Sk4,,human,,female,young adult,-15,,11.8
Ai-Dai,D - MOUNTAIN/FOREST STEPPE,NOMADIC,IRON AGE,K3 M1 Sk R,,human,,female,young adult,-13.8,,11.5
Ai-Dai,D - MOUNTAIN/FOREST STEPPE,NOMADIC,IRON AGE,K4 M3 Sk 4,,human,,female,young adult,-12.8,,9.9
Ai-Dai,D - MOUNTAIN/FOREST STEPPE,NOMADIC,IRON AGE,K4 M3 Sk 5,,human,,female,young adult,-14.2,,10.4
Ai-Dai,D - MOUNTAIN/FOREST STEPPE,NOMADIC,IRON AGE,k8 M2A Sk1,,human,,female,young adult,-16.2,,10.2
Ai-Dai,D - MOUNTAIN/FOREST STEPPE,NOMADIC,IRON AGE,k8 M2A Sk2,,human,,female,middle adult,-16.1,,10.3
Ai-Dai,D - MOUNTAIN/FOREST STEPPE,NOMADIC,IRON AGE,k8 M2A Sk3,,human,,female,middle adult,-16.6,,10.6
Ai-Dai,D - MOUNTAIN/FOREST STEPPE,NOMADIC,IRON AGE,K4 sk1,,human,,male,young adult,-15.2,,11.2
Ai-Dai,D - MOUNTAIN/FOREST STEPPE,NOMADIC,IRON AGE,K1 M1 Sk1,,human,,male,middle adult,-14.4,,10.2
Ai-Dai,D - MOUNTAIN/FOREST STEPPE,NOMADIC,IRON AGE,K3 M1 Sk2,,human,,male,middle adult,-15.2,,11
Ai-Dai,D - MOUNTAIN/FOREST STEPPE,NOMADIC,IRON AGE,K3 M2 sk4,,human,,male,middle adult,-14.6,,10.2
Ai-Dai,D - MOUNTAIN/FOREST STEPPE,NOMADIC,IRON AGE,K4 M3 Sk7,,human,,male,middle adult,-15.6,,10.2
Ai-Dai,D - MOUNTAIN/FOREST STEPPE,NOMADIC,IRON AGE,K5 M1 sk8,,human,,male,middle adult,-15.5,,10.8
Ai-Dai,D - MOUNTAIN/FOREST STEPPE,NOMADIC,IRON AGE,k6 M2 sk2,,human,,male,middle adult,-16.6,,11.2
Ai-Dai,D - MOUNTAIN/FOREST STEPPE,NOMADIC,IRON AGE,k8 M2B Sk1,,human,,male,middle adult,-15.3,,10.4
Ai-Dai,D - MOUNTAIN/FOREST STEPPE,NOMADIC,IRON AGE,k8 M2B Sk2,,human,,male,old adult,-15.3,,11
Aymyrlyg,D - MOUNTAIN/FOREST STEPPE,NOMADIC,IRON AGE,D.7.Sk1,,human,,female,middle adult,-14.2,,13
Aymyrlyg,D - MOUNTAIN/FOREST STEPPE,NOMADIC,IRON AGE,VII.8.sk1,,human,,female,middle adult,-15.3,,14
Aymyrlyg,D - MOUNTAIN/FOREST STEPPE,NOMADIC,IRON AGE,VIII. 17. sk2,,human,,female,middle adult,-15.7,,13.8
Aymyrlyg,D - MOUNTAIN/FOREST STEPPE,NOMADIC,IRON AGE,VIII. 54. Sk5,,human,,female,middle adult,-13.6,,13
Aymyrlyg,D - MOUNTAIN/FOREST STEPPE,NOMADIC,IRON AGE,XX. 7. Sk1,,human,,female,young adult,-13.9,,12.3
Aymyrlyg,D - MOUNTAIN/FOREST STEPPE,NOMADIC,IRON AGE,XX. 7. Sk5,,human,,female,young adult,-13.2,,11.8
Aymyrlyg,D - MOUNTAIN/FOREST STEPPE,NOMADIC,IRON AGE,XX. 9 .Sk4,,human,,female,young adult,-17.2,,14
Aymyrlyg,D - MOUNTAIN/FOREST STEPPE,NOMADIC,IRON AGE,??XXIII,,human,,female,young adult,-16.2,,13.2
Aymyrlyg,D - MOUNTAIN/FOREST STEPPE,NOMADIC,IRON AGE,XXIII. 8,,human,,female,old adult,-15,,13.2
Aymyrlyg,D - MOUNTAIN/FOREST STEPPE,NOMADIC,IRON AGE,VI. 16. Sk4,,human,,male,young adult,-15.2,,12.8
Aymyrlyg,D - MOUNTAIN/FOREST STEPPE,NOMADIC,IRON AGE,XX. 7. Sk2,,human,,male,young adult,-13.9,,12.9
Aymyrlyg,D - MOUNTAIN/FOREST STEPPE,NOMADIC,IRON AGE,XX. 10.SK2,,human,,male,young adult,-16.2,,13.9
Aymyrlyg,D - MOUNTAIN/FOREST STEPPE,NOMADIC,IRON AGE,XX. 10.SK4,,human,,male,young adult,-16.8,,13.6
Aymyrlyg,D - MOUNTAIN/FOREST STEPPE,NOMADIC,IRON AGE,XXI.4. sk4,,human,,male,young adult,-14.1,,13
Aymyrlyg,D - MOUNTAIN/FOREST STEPPE,NOMADIC,IRON AGE,XXIII.4,,human,,male,young adult,-17.5,,13.8
Aymyrlyg,D - MOUNTAIN/FOREST STEPPE,NOMADIC,IRON AGE,XXIII.11.Sk1,,human,,male,young adult,-14.9,,13.1
Aymyrlyg,D - MOUNTAIN/FOREST STEPPE,NOMADIC,IRON AGE,XXIII.11.Sk3,,human,,male,young adult,-17.2,,12.9
Aymyrlyg,D - MOUNTAIN/FOREST STEPPE,NOMADIC,IRON AGE,XXV. 16. Sk1,,human,,male,young adult,-15.1,,13.1
Aymyrlyg,D - MOUNTAIN/FOREST STEPPE,NOMADIC,IRON AGE,VIII. 17. Sk1,,human,,male,middle adult,-14.7,,13.5
Aymyrlyg,D - MOUNTAIN/FOREST STEPPE,NOMADIC,IRON AGE,XX. 8. Sk2,,human,,male,old adult,-15.5,,13.3
Aymyrlyg,D - MOUNTAIN/FOREST STEPPE,NOMADIC,IRON AGE,,,human,,male,old adult,-16.1,,13.4
Bestamak,B - FOREST STEPPE,NOMADIC?,IRON AGE,EA-SI-101,,human,,,,-17.99,,12.47
Bestamak,B - FOREST STEPPE,NOMADIC?,IRON AGE,EA-SI-102_2,,human,,,,-19.03,,13.01
Bestamak,B - FOREST STEPPE,NOMADIC?,IRON AGE,EA-SI-103,,human,,,,-18.86,,13.13
Bestamak,B - FOREST STEPPE,NOMADIC?,IRON AGE,EA-SI-104,,human,,,,-18.99,,12.23
Bestamak,B - FOREST STEPPE,NOMADIC?,IRON AGE,EA-SI-105,,human,,,,-19.1,,12.18
Budenovka-5,B - FOREST STEPPE,,MEDIEVAL,BTC-20,,human,,,,-19.4,,13.49
Halvai-3,B - FOREST STEPPE,,IRON AGE,EA-SI-109,,human,,,,-19.22,,11.2
Halvai-3,B - FOREST STEPPE,,IRON AGE,EA-SI-110,,human,,,,-19.07,,10.46
Halvai-3,B - FOREST STEPPE,,MEDIEVAL,EA-SI-108,,human,,,,-17.94,,13.63
Karatomar-1,B - FOREST STEPPE,,IRON AGE,EA-SI-106,,human,,,,-18.71,,12.87
Karatomar-1,B - FOREST STEPPE,,IRON AGE,EA-SI-107,,human,,,,-18.87,,11.93
Nikel',B - FOREST STEPPE,,BRONZE AGE,EA-SI-78,,human,,,,-18.74,,12.25
Ostrogorka,B - FOREST STEPPE,,MEDIEVAL,EA-SI-79,,human,,,,-18.24,,13.96
Shagalaly,B - FOREST STEPPE,,BRONZE AGE,EA-SI-71,,human,,,,-19.1,,11.33
Shagalaly,B - FOREST STEPPE,,BRONZE AGE,EA-SI-74,,human,,,,-19.28,,10.83
Shagalaly,B - FOREST STEPPE,,LATE ANTIQUITY,EA-SI-69,,human,,,,-21.4,,11.07
Shagalaly  ,B - FOREST STEPPE,,BRONZE AGE,EA-SI-70,,human,,,,-19.15,,11.28
Shagalaly-2,B - FOREST STEPPE,,BRONZE AGE,BTC-14,,human,,,,-19.1,,10.64
Shagalaly-4,B - FOREST STEPPE,,IRON AGE,EA-SI-72,,human,,,,-18.7,,12.01
Shagalaly-5,B - FOREST STEPPE,,IRON AGE,EA-SI-75,,human,,,,-19.09,,11.5
Shondykorasy-2,B - FOREST STEPPE,,BRONZE AGE,BTC-19,,human,,,,-18.28,,13.93
Zevakinskiy ,D - MOUNTAIN/FOREST STEPPE,NOMADIC?,IRON AGE,EA-SI-126,,human,,,,-14.03,,11.19
Zevakinskiy,D - MOUNTAIN/FOREST STEPPE,NOMADIC?,IRON AGE,EA-SI-127,,human,,,,-16.08,,11.22
Ak-Koitas-4,A - SEMI-ARID STEPPE,,BRONZE AGE,EA-SI-58,878,human,,,,-19.13,,12.78
Ak-Koitas-5,A - SEMI-ARID STEPPE,,BRONZE AGE,EA-SI-59,873,human,,,,-18.21,,13.11
Aschisu,A - SEMI-ARID STEPPE,,BRONZE AGE,EA-SI-94,,human,,,,-17.76,,13.63
Bozshakol-5,A - SEMI-ARID STEPPE,,IRON AGE,BTC-39,,human,,,,-14.72,,13.07
Kairan-1,A - SEMI-ARID STEPPE,NOMADIC?,BRONZE AGE,EA-SI-29,,human,,,,-18.27,,13.58
Kairan-1,A - SEMI-ARID STEPPE,NOMADIC?,BRONZE AGE,EA-SI-30,,human,,,,-18.39,,13.78
Kairan-1,A - SEMI-ARID STEPPE,NOMADIC?,BRONZE AGE,EA-SI-31,,human,,,,-17.86,,14.05
Kairan-1,A - SEMI-ARID STEPPE,NOMADIC?,BRONZE AGE,EA-SI-32,,human,,,,-18.11,,14.08
Kairan-1,A - SEMI-ARID STEPPE,NOMADIC?,BRONZE AGE,EA-SI-33,,human,,,,-17.24,,15.48
Kairan-1,A - SEMI-ARID STEPPE,NOMADIC?,BRONZE AGE,EA-SI-34,,human,,,,-17.42,,15.1
Kairan-1,A - SEMI-ARID STEPPE,NOMADIC?,BRONZE AGE,EA-SI-35,,human,,,,-17.73,,14.9
Kairan-1,A - SEMI-ARID STEPPE,NOMADIC?,BRONZE AGE,EA-SI-36,,human,,,,-17.7,,14.59
Kairan-1,A - SEMI-ARID STEPPE,NOMADIC?,BRONZE AGE,EA-SI-38,,human,,,,-18.61,,13.37
Kairan-1,A - SEMI-ARID STEPPE,NOMADIC?,BRONZE AGE,EA-SI-39,,human,,,,-18.17,,13.35
Kairan-1,A - SEMI-ARID STEPPE,NOMADIC?,BRONZE AGE,EA-SI-40,,human,,,,-18.56,,13.65
Kairan-1,A - SEMI-ARID STEPPE,NOMADIC?,BRONZE AGE,EA-SI-41,,human,,,,-18.26,,13.41
Kairan-1,A - SEMI-ARID STEPPE,NOMADIC?,BRONZE AGE,EA-SI-42,,human,,,,-17.78,,15.66
Kairan-1,A - SEMI-ARID STEPPE,NOMADIC?,BRONZE AGE,EA-SI-43,,human,,,,-18.64,,13.7
Kairan-1,A - SEMI-ARID STEPPE,NOMADIC?,BRONZE AGE,EA-SI-44,,human,,,,-18.68,,15.31
Kairan-1,A - SEMI-ARID STEPPE,NOMADIC?,BRONZE AGE,EA-SI-46,,human,,,,-18.56,,12.68
Karatugai,A - SEMI-ARID STEPPE,NOMADIC,IRON AGE,EA-SI-80,,human,,,,-18.47,,11.98
Karatugai,A - SEMI-ARID STEPPE,NOMADIC,IRON AGE,EA-SI-81,,human,,,,-17.66,,14.04
Karatugai,A - SEMI-ARID STEPPE,NOMADIC,IRON AGE,EA-SI-82,,human,,,,-18.49,,12.01
Karatugai,A - SEMI-ARID STEPPE,NOMADIC,IRON AGE,EA-SI-83,,human,,,,-19.36,,10.29
Karatugai,A - SEMI-ARID STEPPE,NOMADIC,IRON AGE,EA-SI-84,,human,,,,-19.35,,10.39
Karazhartas,A - SEMI-ARID STEPPE,,BRONZE AGE,EA-SI-85,,human,,,,-15.15,,13.38
Karazhartas,A - SEMI-ARID STEPPE,,BRONZE AGE,EA-SI-86,,human,,,,-17.27,,13.25
Karazhartas,A - SEMI-ARID STEPPE,,BRONZE AGE,EA-SI-87,,human,,,,-17.22,,13.36
Karazhartas,A - SEMI-ARID STEPPE,,BRONZE AGE,EA-SI-88,,human,,,,-17.27,,13.5
Karazhartas,A - SEMI-ARID STEPPE,,BRONZE AGE,EA-SI-89,,human,,,,-16.93,,14.39
Kudryavaya Sopka,A - SEMI-ARID STEPPE,NOMADIC,IRON AGE,EA-SI-95,,human,,,,-18.28,,14.95
PPK Saba ,A - SEMI-ARID STEPPE,,IRON AGE,BTC1-567,,human,,,,-17.88,,14.31
Senkibai-2,A - SEMI-ARID STEPPE,,IRON AGE,EA-SI-98,,human,,,,-18.94,,14.01
Shantimes,A - SEMI-ARID STEPPE,,IRON AGE,EA-SI-96,,human,,,,-19.29,,11.85
Tankara,A - SEMI-ARID STEPPE,,BRONZE AGE,BTC-10,,human,,,,-18.47,,13.46
Tankara,A - SEMI-ARID STEPPE,,BRONZE AGE,BTC-15,,human,,,,-18.37,,14.15
Tankara,A - SEMI-ARID STEPPE,,BRONZE AGE,BTC-16,,human,,,,-18.96,,13.19
Tankara,A - SEMI-ARID STEPPE,,BRONZE AGE,BTC-17,,human,,,,-18.4,,13.5
Tankara,A - SEMI-ARID STEPPE,,BRONZE AGE,BTC-18,,human,,,,-18.14,,13.27
Tersakkan ,A - SEMI-ARID STEPPE,,LATE ANTIQUITY,EA-SI-25,454,human,,,,-18.14,,12.72
Tersakkan ,A - SEMI-ARID STEPPE,,LATE ANTIQUITY,EA-SI-28,454,human,,,,-17.98,,13.49
Tersakkan ,A - SEMI-ARID STEPPE,,IRON AGE,EA-SI-23,454,human,,,,-18.39,,14.76
Tersakkan ,A - SEMI-ARID STEPPE,,IRON AGE,EA-SI-24_1,454,human,,,,-17.97,,15.27
Tersakkan-2,A - SEMI-ARID STEPPE,,MEDIEVAL,EA-SI-20,454,human,,,,-19.1,,11.73
Tersakkan-2,A - SEMI-ARID STEPPE,,MEDIEVAL,EA-SI-21,454,human,,,,-19.68,,12.72
Tersakkan-2,A - SEMI-ARID STEPPE,,MEDIEVAL,EA-SI-22,454,human,,,,-18.61,,13.82
Zhanteli-12,A - SEMI-ARID STEPPE,,MEDIEVAL,EA-SI-66,,human,,,,-18.96,,12.9
Zhartas,A - SEMI-ARID STEPPE,NOMADIC,IRON AGE,EA-SI-93,,human,,,,-18.21,,14.27
Zheken,A - SEMI-ARID STEPPE,,IRON AGE,EA-SI-61,410,human,,,,-17.82,,14.42
Zheken,A - SEMI-ARID STEPPE,,MEDIEVAL,EA-SI-62,410,human,,,,-18.54,,15.5
Zheken,A - SEMI-ARID STEPPE,,MEDIEVAL,EA-SI-63,410,human,,,,-17.41,,15.62
Zheken,A - SEMI-ARID STEPPE,,MEDIEVAL,EA-SI-64,410,human,,,,-18.98,,14.29
Zheken,A - SEMI-ARID STEPPE,,MEDIEVAL,EA-SI-60,410,human,,,,-18.18,,14.99
Taksai-1,C - WEST STEPPE,,IRON AGE,EA-SI-01,,human,,,,-18.47,,14.2
Taksai-1,C - WEST STEPPE,,IRON AGE,EA-SI-04,,human,,,,-18.46,,14.51
Taksai-1,C - WEST STEPPE,,IRON AGE,EA-SI-05,,human,,,,-18.09,,13.04
Taksai-2,C - WEST STEPPE,,IRON AGE,EA-SI-02,,human,,,,-18.6,,13.77
Taksai-2,C - WEST STEPPE,,IRON AGE,EA-SI-03,,human,,,,-18.75,,13.15
Taksai-2,C - WEST STEPPE,,IRON AGE,EA-SI-07,,human,,,,-13.36,,16.46
Taksai-2,C - WEST STEPPE,,IRON AGE,EA-SI-08,,human,,,,-18.82,,12.85
Taksai-2,C - WEST STEPPE,,IRON AGE,EA-SI-09,,human,,,,-18.98,,12.74
Taksai-2,C - WEST STEPPE,,IRON AGE,EA-SI-11,,human,,,,-16.71,,11.91
Taksai-2,C - WEST STEPPE,,IRON AGE,EA-SI-12,,human,,,,-15.35,,17.9
Taksai-2,C - WEST STEPPE,,IRON AGE,EA-SI-13,,human,,,,-17.66,,12.87
Taksai-2,C - WEST STEPPE,,IRON AGE,EA-SI-14,,human,,,,-18.81,,12.3
Taksai-2,C - WEST STEPPE,,IRON AGE,EA-SI-16,,human,,,,-18.23,,12.17
"Taskala, ind zone",C - WEST STEPPE,,BRONZE AGE,EA-SI-17,,human,,,,-18.48,,14.12
"Taskala, ind zone",C - WEST STEPPE,,BRONZE AGE,EA-SI-18,,human,,,,-18.84,,12.44
"Taskala, ind zone",C - WEST STEPPE,,BRONZE AGE,EA-SI-19,,human,,,,-18.33,,14.45
Tortoba,C - WEST STEPPE,,IRON AGE,BTC1-568,,human,,,,-18.3,,14.11
Tortoba,C - WEST STEPPE,,IRON AGE,BTC1-569,,human,,,,-17.45,,14.1
Tortoba,C - WEST STEPPE,,IRON AGE,BTC1-571,,human,,,,-17.42,,16.25
Tortoba,C - WEST STEPPE,,IRON AGE,BTC1-573,,human,,,,-18.1,,13.4
Balandy,F - DESERT OASES,,IRON AGE,EA-SI-124,,human,,,,-18.33,,11.14
Burgulyuk,F - DESERT OASES,,IRON AGE,BTC-47,,human,,,,-15.79,,10.28
Burgulyuk-2,F - DESERT OASES,,IRON AGE,BTC-46,,human,,,,-15.48,,12.8
Burgulyuk-2,F - DESERT OASES,,IRON AGE,BTC-51,,human,,,,-14.31,,11.15
Chirik Rabat,F - DESERT OASES,,IRON AGE,EA-SI-113,,human,,,,-16.3,,14.81
Chirik Rabat,F - DESERT OASES,,IRON AGE,EA-SI-114,,human,,,,-18.05,,14.88
Chirik Rabat,F - DESERT OASES,,IRON AGE,EA-SI-115,,human,,,,-17.08,,14.38
Chirik Rabat,F - DESERT OASES,,IRON AGE,EA-SI-116,,human,,,,-16.34,,12.97
Chirik Rabat,F - DESERT OASES,,IRON AGE,EA-SI-117,,human,,,,-22.48,,15.22
Chirik Rabat,F - DESERT OASES,,IRON AGE,EA-SI-120,,human,,,,-16.78,,13.47
Chirik Rabat,F - DESERT OASES,,IRON AGE,EA-SI-121,,human,,,,-16.93,,14.49
Chirik Rabat,F - DESERT OASES,,IRON AGE,EA-SI-122,,human,,,,-15.69,,15.21
Chirik Rabat,F - DESERT OASES,,IRON AGE,EA-SI-123,,human,,,,-16.53,,14.94
Chirik Rabat,F - DESERT OASES,,IRON AGE,EA-SI-125,,human,,,,-16.38,,14.53
Kaitpas,F - DESERT OASES,,IRON AGE,BTC-23,,human,,,,-16.1,,13.94
Kaitpas,F - DESERT OASES,,IRON AGE,BTC-44,,human,,,,-16.58,,13.55
Kaitpas ,F - DESERT OASES,,IRON AGE,BTC-42,,human,,,,-14.23,,13.36
Karauyltobe,F - DESERT OASES,,MEDIEVAL,BTC-33,,human,,,,-18.71,,9.35
Madani,F - DESERT OASES,,MEDIEVAL,BTC-45,,human,,,,-16.95,,10.84
Madani,F - DESERT OASES,,MEDIEVAL,BTC-48,,human,,,,-15.35,,9.56
Madani,F - DESERT OASES,,MEDIEVAL,BTC-49,,human,,,,-19.02,,10.68
Madani,F - DESERT OASES,,MEDIEVAL,BTC-50,,human,,,,-17.77,,10.85
Madani,F - DESERT OASES,,MEDIEVAL,BTC-52,,human,,,,-18.18,,10.3
Aktogai,E - ARID/MOUNTAIN STEPPE,,BRONZE AGE,EA-SI-47,411,human,,,,-17.31,,14.63
Aktogai,E - ARID/MOUNTAIN STEPPE,,BRONZE AGE,EA-SI-48,411,human,,,,-17.52,,12.75
Aktogai,E - ARID/MOUNTAIN STEPPE,,BRONZE AGE,EA-SI-51,411,human,,,,-16.56,,14.62
Aktogai,E - ARID/MOUNTAIN STEPPE,,BRONZE AGE,EA-SI-52,411,human,,,,-16.34,,14.46
Aktogai,E - ARID/MOUNTAIN STEPPE,,BRONZE AGE,EA-SI-53,411,human,,,,-17.12,,11.16
Aktogai,E - ARID/MOUNTAIN STEPPE,,BRONZE AGE,EA-SI-54,411,human,,,,-16.32,,11.36
Aktogai,E - ARID/MOUNTAIN STEPPE,,BRONZE AGE,EA-SI-56,411,human,,,,-17.73,,16.04
Aktogai,E - ARID/MOUNTAIN STEPPE,,BRONZE AGE,EA-SI-57,411,human,,,,-17.53,,11.91
Aktogai,E - ARID/MOUNTAIN STEPPE,,IRON AGE,EA-SI-49,411,human,,,,-17.62,,12.09
Aktogai,E - ARID/MOUNTAIN STEPPE,,IRON AGE,EA-SI-55,411,human,,,,-16.55,,15.33
Alatau,E - ARID/MOUNTAIN STEPPE,,IRON AGE,BTC-29,,human,,,,-17.29,,8.92
Alatau-1,E - ARID/MOUNTAIN STEPPE,,IRON AGE,BTC-31,,human,,,,-16.75,,10.81
Butakty,E - ARID/MOUNTAIN STEPPE,NOMADIC,MEDIEVAL,BTC-32,1150,human,,,,-11.66,,14.01
Butakty-1,E - ARID/MOUNTAIN STEPPE,NOMADIC,MEDIEVAL,BTC-28,1150,human,,,,-15.22,,10.73
Kamenka,E - ARID/MOUNTAIN STEPPE,,IRON AGE,BTC-34,,human,,,,-16.87,,10.47
Kargalinka-2,E - ARID/MOUNTAIN STEPPE,,MEDIEVAL,BTC-41,,human,,,,-14.9,,9.49
Kargaly-1,E - ARID/MOUNTAIN STEPPE,,IRON AGE,BTC-37,,human,,,,-13.3,,11.6
Kargaly-108,E - ARID/MOUNTAIN STEPPE,,IRON AGE,BTC-30,,human,,,,-13.74,,12.19
Karkara,E - ARID/MOUNTAIN STEPPE,,IRON AGE,EA-SI-67,,human,,,,-15.91,,10.09
Karkara ,E - ARID/MOUNTAIN STEPPE,,IRON AGE,EA-SI-68,,human,,,,-17.83,,11.23
Katartobe,E - ARID/MOUNTAIN STEPPE,,IRON AGE,BTC1-557,,human,,,,-18.42,,12.08
Katartobe,E - ARID/MOUNTAIN STEPPE,,IRON AGE,BTC1-558,,human,,,,-18.05,,10.98
Katartobe,E - ARID/MOUNTAIN STEPPE,,IRON AGE,BTC1-559,,human,,,,-17.32,,11.92
Katartobe,E - ARID/MOUNTAIN STEPPE,,IRON AGE,BTC1-561,,human,,,,-17.39,,15.46
Kyzyl-Bulak-4,E - ARID/MOUNTAIN STEPPE,NOMADIC?,MEDIEVAL,BTC-40,,human,,,,-19.5,,9.45
Nurly,E - ARID/MOUNTAIN STEPPE,,LATE ANTIQUITY,EA-SI-65,,human,,,,-14.72,,13.65
Oi-Dzhailau-8,E - ARID/MOUNTAIN STEPPE,,IRON AGE,BTC-35,,human,,,,-16.62,,10.3
Shokpar,E - ARID/MOUNTAIN STEPPE,,IRON AGE,BTC-36,,human,,,,-16.05,,13.48
Turgen-2,E - ARID/MOUNTAIN STEPPE,NOMADIC,BRONZE AGE,EA-SI-129,1040,human,,,,-19.15,,10.27
Turgen-2,E - ARID/MOUNTAIN STEPPE,NOMADIC,IRON AGE,EA-SI-128,1040,human,,,,-18.36,,10.09
Shagalaly,B - FOREST STEPPE,,BRONZE AGE,EA-SI-180,,caprine,,,,-19.89,,3.9
Shagalaly,B - FOREST STEPPE,,BRONZE AGE,EA-SI-181,,horse,,,,-20.39,,4.11
